               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10128,            0.024188,            0.068614,          0.00065047,             0.11095,           0.0012597,          0.00022412,            0.092158,            0.021916,            0.057516,            0.070769,           0.0032479,           0.0032479
                   1,            0.079274,            0.018449,            0.051991,             0.86264,            0.020216,             0.01151,           0.0022376,             0.08208,            0.021661,            0.049274,            0.040639,           0.0064509,           0.0064509
                   2,            0.072356,            0.016637,            0.042561,             0.79212,            0.037736,            0.021005,           0.0055458,             0.07935,            0.020804,            0.040833,            0.010377,           0.0095219,           0.0095219
                   3,            0.066766,            0.015494,            0.033067,             0.85158,            0.090768,            0.073447,            0.022782,            0.070695,            0.020771,            0.033324,            0.009406,            0.009406,            0.009406
                   4,            0.060888,              0.0143,            0.025668,             0.87612,            0.087711,            0.091033,            0.029368,            0.072197,            0.018387,            0.025536,            0.009406,            0.009406,            0.009406
                   5,             0.05693,            0.012769,             0.01988,             0.90793,             0.12172,             0.24276,            0.075162,            0.059181,            0.018608,            0.024136,            0.009208,            0.009208,            0.009208
                   6,            0.050906,            0.011853,            0.017362,             0.85926,             0.19297,              0.3646,             0.13707,            0.055319,             0.01634,            0.018646,             0.00901,             0.00901,             0.00901
                   7,            0.047921,            0.010621,            0.014084,             0.56827,             0.36631,             0.43928,             0.15877,            0.051083,            0.015531,             0.01606,            0.008812,            0.008812,            0.008812
                   8,            0.044196,           0.0096091,            0.012016,             0.52668,             0.55598,              0.5937,             0.25352,            0.049775,            0.014657,            0.014522,            0.008614,            0.008614,            0.008614
                   9,            0.040643,           0.0087735,            0.010165,             0.73155,             0.54426,             0.58035,             0.24622,             0.05153,            0.013778,             0.01375,            0.008416,            0.008416,            0.008416
                  10,            0.040331,           0.0080182,           0.0091467,             0.68408,             0.60796,             0.62527,              0.2633,            0.048466,            0.013606,            0.012964,            0.008218,            0.008218,            0.008218
                  11,            0.037864,           0.0075141,           0.0083247,             0.72746,             0.66104,             0.73623,             0.32858,             0.04637,            0.013129,            0.011588,             0.00802,             0.00802,             0.00802
                  12,            0.036083,           0.0068449,           0.0072148,             0.74943,               0.654,             0.74528,             0.33465,            0.045376,            0.012622,            0.010959,            0.007822,            0.007822,            0.007822
                  13,            0.034763,           0.0062052,           0.0065299,              0.6814,             0.59652,             0.72293,             0.31148,            0.047741,            0.012255,            0.010454,            0.007624,            0.007624,            0.007624
                  14,            0.033724,           0.0059863,           0.0060619,             0.72906,             0.70564,             0.79868,             0.37702,            0.045509,            0.012588,            0.010467,            0.007426,            0.007426,            0.007426
                  15,            0.032305,           0.0055553,           0.0054326,              0.8495,             0.68306,             0.83837,              0.3981,            0.042414,             0.01234,           0.0092843,            0.007228,            0.007228,            0.007228
                  16,             0.02999,            0.005326,           0.0051304,             0.78773,             0.68938,             0.80636,             0.38963,            0.044771,            0.012311,           0.0089297,             0.00703,             0.00703,             0.00703
                  17,            0.029293,           0.0049115,            0.005043,             0.81345,             0.74968,             0.82351,             0.38734,            0.042483,            0.012405,           0.0095783,            0.006832,            0.006832,            0.006832
                  18,            0.028675,            0.004733,           0.0046614,             0.81356,             0.73963,             0.83277,             0.38918,              0.0423,            0.012225,           0.0085493,            0.006634,            0.006634,            0.006634
                  19,             0.02841,           0.0049679,           0.0044479,             0.76509,             0.79518,              0.8417,             0.41464,            0.042203,            0.012043,            0.008439,            0.006436,            0.006436,            0.006436
                  20,            0.027357,           0.0044246,           0.0044213,              0.8014,             0.78301,             0.86265,             0.44474,            0.041012,            0.012428,           0.0084762,            0.006238,            0.006238,            0.006238
                  21,            0.025784,           0.0042487,           0.0040907,             0.84898,              0.7787,             0.85667,             0.44327,            0.040187,            0.012733,           0.0086169,             0.00604,             0.00604,             0.00604
